description,image,name,type
Get ready to go nuts over NOOTS on-chain!,https://raw.githubusercontent.com/BASEDNUT/NOOTS/main/assets/141.png,NOOTS 141,ALMOND
Get ready to go nuts over NOOTS on-chain!,https://raw.githubusercontent.com/BASEDNUT/NOOTS/main/assets/142.png,NOOTS 142,ALMOND
Get ready to go nuts over NOOTS on-chain!,https://raw.githubusercontent.com/BASEDNUT/NOOTS/main/assets/143.png,NOOTS 143,ALMOND
Get ready to go nuts over NOOTS on-chain!,https://raw.githubusercontent.com/BASEDNUT/NOOTS/main/assets/144.png,NOOTS 144,ALMOND
Get ready to go nuts over NOOTS on-chain!,https://raw.githubusercontent.com/BASEDNUT/NOOTS/main/assets/145.png,NOOTS 145,ALMOND
Get ready to go nuts over NOOTS on-chain!,https://raw.githubusercontent.com/BASEDNUT/NOOTS/main/assets/146.png,NOOTS 146,ALMOND
Get ready to go nuts over NOOTS on-chain!,https://raw.githubusercontent.com/BASEDNUT/NOOTS/main/assets/147.png,NOOTS 147,ALMOND
Get ready to go nuts over NOOTS on-chain!,https://raw.githubusercontent.com/BASEDNUT/NOOTS/main/assets/148.png,NOOTS 148,ALMOND
Get ready to go nuts over NOOTS on-chain!,https://raw.githubusercontent.com/BASEDNUT/NOOTS/main/assets/149.png,NOOTS 149,ALMOND
Get ready to go nuts over NOOTS on-chain!,https://raw.githubusercontent.com/BASEDNUT/NOOTS/main/assets/150.png,NOOTS 150,ALMOND
Get ready to go nuts over NOOTS on-chain!,https://raw.githubusercontent.com/BASEDNUT/NOOTS/main/assets/151.png,NOOTS 151,ALMOND
Get ready to go nuts over NOOTS on-chain!,https://raw.githubusercontent.com/BASEDNUT/NOOTS/main/assets/152.png,NOOTS 152,ALMOND
Get ready to go nuts over NOOTS on-chain!,https://raw.githubusercontent.com/BASEDNUT/NOOTS/main/assets/153.png,NOOTS 153,ALMOND
Get ready to go nuts over NOOTS on-chain!,https://raw.githubusercontent.com/BASEDNUT/NOOTS/main/assets/154.png,NOOTS 154,ALMOND
Get ready to go nuts over NOOTS on-chain!,https://raw.githubusercontent.com/BASEDNUT/NOOTS/main/assets/155.png,NOOTS 155,ALMOND
Get ready to go nuts over NOOTS on-chain!,https://raw.githubusercontent.com/BASEDNUT/NOOTS/main/assets/156.png,NOOTS 156,ALMOND
Get ready to go nuts over NOOTS on-chain!,https://raw.githubusercontent.com/BASEDNUT/NOOTS/main/assets/157.png,NOOTS 157,ALMOND
Get ready to go nuts over NOOTS on-chain!,https://raw.githubusercontent.com/BASEDNUT/NOOTS/main/assets/158.png,NOOTS 158,ALMOND
Get ready to go nuts over NOOTS on-chain!,https://raw.githubusercontent.com/BASEDNUT/NOOTS/main/assets/159.png,NOOTS 159,ALMOND
Get ready to go nuts over NOOTS on-chain!,https://raw.githubusercontent.com/BASEDNUT/NOOTS/main/assets/160.png,NOOTS 160,ALMOND
Get ready to go nuts over NOOTS on-chain!,https://raw.githubusercontent.com/BASEDNUT/NOOTS/main/assets/161.png,NOOTS 161,ALMOND
Get ready to go nuts over NOOTS on-chain!,https://raw.githubusercontent.com/BASEDNUT/NOOTS/main/assets/162.png,NOOTS 162,ALMOND
Get ready to go nuts over NOOTS on-chain!,https://raw.githubusercontent.com/BASEDNUT/NOOTS/main/assets/163.png,NOOTS 163,ALMOND
Get ready to go nuts over NOOTS on-chain!,https://raw.githubusercontent.com/BASEDNUT/NOOTS/main/assets/164.png,NOOTS 164,ALMOND
Get ready to go nuts over NOOTS on-chain!,https://raw.githubusercontent.com/BASEDNUT/NOOTS/main/assets/165.png,NOOTS 165,ALMOND
